ID,Food Name,Calories
241,Queso Blanco Cheese,366
242,Queso Fresco Cheese,365
243,Queso Seco Cheese,315
244,Rainbow Smelt,31
245,Rainbow Trout,115
246,Ramen Noodle Soup Dry,371
247,Red Salmon Sockeye Filets Smoked,373
248,Refried Red Beans,336
249,Requeijao Cremoso Light,49
250,Ricotta Cheese,30
251,Rockfish,167
252,Roe,39
253,Romano Cheese,19
254,Roquefort Cheese,314
255,Sablefish,754
256,Salmon,778
257,Salmon Canned,520
258,Salmon Nuggets,60
259,Salt Mackerel,415
260,Sardine Canned In Oil,310
261,Sardines In Tomato Sauce Canned,165
262,Sausage Biscuit,440
263,Sausage Mcgriddles,421
264,Sausage Pizza,325
265,Savoury Noodle One Pan Dinner Tandaco,172
266,Scallop,10
267,Scallop Imitation,28
268,Scallops,11
269,Scallops Fried,64
270,Scotch Broth,197
271,Scup,121
272,Sea Bass,125
273,Seatrout,248
274,Shark,51
275,Shark Fin Soup,99
276,Sheepshead,246
277,Shrimp,6
278,Shrimp Canned,128
279,Shrimp Fried,52
280,Shrimp Imitation,29
281,Skipjack Tuna,407
282,Snapper,218
283,Sockeye Salmon,528
284,Sockeye Salmon Canned,563
285,Spinach Egg Noodles,211
286,Spinach Pasta,37
287,Spinach Spaghetti,182
288,Spiny Lobster,234
289,Split Pea Soup,180
290,Spot,79
291,Squid,26
292,Squid Fried,140
293,Stockpot Soup,201
294,Sturgeon,107
295,Sturgeon Smoked,49
296,Succotash,213
297,Sucker,147
298,Surimi,28
299,Sweet Gefilte Fish,35
300,Swiss Cheese,98
301,Swordfish,189
302,Tahini,86
303,Tilapia,111
304,Tilefish,406
305,Tilsit Cheese,136
306,Tomato Beef Noodle Soup,281
307,Tomato Bisque Soup,248
308,Tomato Rice Soup,240
309,Tomato Soup,98
310,Tomato Soup Canned,139
311,Tomato Vegetable Soup,54
312,Tripe Soup,148
313,Trout,118
314,Tuna Canned,102
315,Tuna Canned In Oil,331
316,Tuna Salad,383
317,Turbot,388
318,Turkey Noodle Soup,139
319,Turkey Patty Fried,79
320,Turkey Pot Pie,699
321,Turkey Soup,135
322,Turkey Vegetable Soup,72
323,Vegetable Beef Soup,128
324,Vegetable Chicken Soup,166
325,Vegetable Lasagna,316
326,Vegetable Soup,149
327,Vegetarian Fillets,247
328,Vegetarian Stew,304
329,Veggie Burger,124
330,Walleye Pike,148
331,Whelk,58
332,Whitefish,265
333,Whitefish Smoked,147
334,Whiting,84
335,Whopper,790
336,Wild Pink Salmon Oceans,320
337,Wolffish,294
338,Wonton Soup,71
339,Wonton Wrappers,93
340,Yellowfin Tuna,34
341,Yellowtail,546
