ID,Food Name,Calories
221,Barley,42
222,Bulgur Dry,171
223,Cottonseed Kernels Roasted,754
224,Rice Bran,373
225,Chaptti Roti Indian Bread,491
226,Quinoa,222
227,Dar Vida Swiss Original,116
228,Teff,255
229,Couscous Dry,650
230,Weetabix Weetabix,2078
231,Oat Bran,88
232,Buckwheat,155
233,Millet Puffed,74
234,Oat Bran,23
235,Popcorn Oil Popped,64
236,Kamut,251
237,Wheat Bran,125
238,Cheese Popcorn,58
239,Raisin Bran Crunch Kelloggs,90
240,Couscous,176
241,Multigrain Cheerios General Mills,4
242,Bulgur,151
243,Popcorn Air Popped,31
244,Teff,708
245,Spelt,246
246,Millet,756
247,Popcorn Unpopped,106
248,Whole Wheat,150
249,Wheat Sprouted,214
250,Whole Wheat Dry,96
251,Caramel Popcorn,122
252,Wheat Puffed,44
253,Roggenmischbrot Sonnenblumenkerne Aldi,82
254,Wheat Germ,112
255,Microwave Popcorn,465
256,Millet,207
257,Kamut,627
258,Wheat Durum,651
259,Sorghum,651
260,White Wheat,657
261,Rye,571
262,Spelt,588
263,Buckwheat,41
264,Honey Cereali General Mills,104
265,Barley,193
266,Oats,39
267,Amaranth,37
268,Semolina,601
269,Quinoa Dry,221
270,Wheat Shredded,155
271,Cattail,5
272,Peanut Granola Bar,116
273,Vanilla Bluberry Bar Kind,49
274,Coconut Granola Bar,150
275,Almond Granola Bar,119
276,Chocolate Chip Granola Bar,105
277,Fruit Granola Bar,82
278,Granola Bar,99
279,Peanut Bar,209
280,Milk Cereal Bar,103
281,Almond Rice Bar,128
282,Fruit Nut Squares,55
283,Rice Wheat Cereal Bar,90
284,Crisped Rice Bar,113
285,Brown Rice,685
286,Rice Pilaf,352
287,Beef Flavored Rice,657
288,Wild Rice,166
289,Wild Rice,571
290,Congee With Pork Shrimp And Squid Plus Egg,178
291,White Rice Pasta,246
292,Chicken Flavored Rice,601
293,Instant White Rice,361
294,Rice Crisps,107
295,Parboiled White Rice,692
296,Instant White Rice,193
297,Rice Pilaf,732
298,Rice Cracker Cake,111
299,Parboiled White Rice,194
300,White Rice Steamed,199
301,Brown Rice Cake,35
302,Glutinous White Rice,685
303,White Rice Pasta,600
304,Glutinous White Rice,169
305,Brown Rice,218
306,Beef Flavored Rice,319
307,White Rice,205
308,Chicken Flavored Rice,317
309,White Rice,675
310,Cheese Imitation,441
311,Cheshire Cheese,110
312,Monterey Cheese,421
313,Edam Cheese,107
314,Fontina Cheese,420
315,Monterey Cheese,350
316,Colby Cheese,445
317,American Cheese,93
318,Blue Cheese,106
